date,gamePk,away_name,home_name,pick,pick_prob,grade,home_win_prob,elo_diff,outcome,result
2026-04-26,824528,Detroit Tigers,Cincinnati Reds,Detroit Tigers,0.549,C,0.451,-0.73,HIT,8-3
2026-04-26,823635,Colorado Rockies,New York Mets,New York Mets,0.5681,C,0.5681,45.09,MISS,3-1
2026-04-26,823637,Colorado Rockies,New York Mets,New York Mets,0.6062,B,0.6062,57.51,MISS,3-0
2026-04-26,824612,Washington Nationals,Chicago White Sox,Washington Nationals,0.5735,C,0.4265,-5.08,HIT,2-1
2026-04-26,824122,Los Angeles Angels,Kansas City Royals,Los Angeles Angels,0.5144,C,0.4856,59.81,MISS,9-11
2026-04-26,824202,New York Yankees,Houston Astros,New York Yankees,0.5264,C,0.4736,26.36,MISS,4-7
2026-04-26,823797,Pittsburgh Pirates,Milwaukee Brewers,Milwaukee Brewers,0.5751,C,0.5751,64.82,HIT,0-5
2026-04-26,823068,Seattle Mariners,St. Louis Cardinals,Seattle Mariners,0.5735,C,0.4265,41.97,HIT,3-2
2026-04-26,822911,Athletics,Texas Rangers,Texas Rangers,0.5408,C,0.5408,48.21,MISS,2-1
2026-04-26,825094,San Diego Padres,Arizona Diamondbacks,San Diego Padres,0.5772,C,0.4228,47.03,MISS,7-12
